Date,Precipitation
1/1/21,0
1/2/21,0.46
1/3/21,0.04
1/4/21,0.1
1/5/21,0.01
1/6/21,0
1/7/21,0
1/8/21,0
1/9/21,0
1/10/21,0
1/11/21,0
1/12/21,0
1/13/21,0
1/14/21,0
1/15/21,0.1
1/16/21,0.89
1/17/21,0.49
1/18/21,0
1/19/21,0
1/20/21,0
1/21/21,0
1/22/21,0
1/23/21,0
1/24/21,0
1/25/21,0
1/26/21,0
1/27/21,0.3
1/28/21,0.04
1/29/21,0.07
1/30/21,0
1/31/21,0
2/1/21,0
2/2/21,1.82
2/3/21,0.04
2/4/21,0.01
2/5/21,0
2/6/21,0
2/7/21,0
2/8/21,0.51
2/9/21,0
2/10/21,0.29
2/11/21,0
2/12/21,0
2/13/21,0
2/14/21,0
2/15/21,0
2/16/21,0.5
2/17/21,0
2/18/21,0
2/19/21,0.22
2/20/21,0.31
2/21/21,0
2/22/21,0
2/23/21,0.19
2/24/21,0
2/25/21,0
2/26/21,0
2/27/21,0
2/28/21,0.16
3/1/21,0.15
3/2/21,0
3/3/21,0
3/4/21,0
3/5/21,0
3/6/21,0
3/7/21,0
3/8/21,0
3/9/21,0
3/10/21,0
3/11/21,0
3/12/21,0
3/13/21,0
3/14/21,0
3/15/21,0
3/16/21,0
3/17/21,0
3/18/21,0
3/19/21,0.72
3/20/21,0
3/21/21,0
3/22/21,0
3/23/21,0
3/24/21,0
3/25/21,0.1
3/26/21,0
3/27/21,0
3/28/21,0
3/29/21,0.8
3/30/21,0
3/31/21,0
4/1/21,1.02
4/2/21,0
4/3/21,0
4/4/21,0
4/5/21,0
4/6/21,0
4/7/21,0
4/8/21,0
4/9/21,0
4/10/21,0
4/11/21,0
4/12/21,0
4/13/21,0
4/14/21,0
4/15/21,0
4/16/21,0.95
4/17/21,1.87
4/18/21,0.06
4/19/21,0
4/20/21,0.03
4/21/21,0
4/22/21,0.29
4/23/21,0
4/24/21,0
4/25/21,0
4/26/21,0.12
4/27/21,0
4/28/21,0.17
4/29/21,0
4/30/21,0.7
5/1/21,0.11
5/2/21,0.02
5/3/21,0
5/4/21,0.66
5/5/21,0.52
5/6/21,0.22
5/7/21,0
5/8/21,0
5/9/21,0
5/10/21,0.36
5/11/21,0
5/12/21,0
5/13/21,0
5/14/21,0
5/15/21,0
5/16/21,0
5/17/21,0.01
5/18/21,0
5/19/21,0
5/20/21,0
5/21/21,0
5/22/21,0
5/23/21,0
5/24/21,0
5/25/21,0
5/26/21,0
5/27/21,0.28
5/28/21,0
5/29/21,2.13
5/30/21,0.26
5/31/21,0.93
6/1/21,0.02
6/2/21,0
6/3/21,0
6/4/21,0
6/5/21,0.01
6/6/21,0
6/7/21,0
6/8/21,0
6/9/21,0.12
6/10/21,0
6/11/21,0
6/12/21,0.67
6/13/21,0
6/14/21,0
6/15/21,0.56
6/16/21,0.09
6/17/21,0
6/18/21,0
6/19/21,0
6/20/21,0
6/21/21,0
6/22/21,0
6/23/21,1.67
6/24/21,0
6/25/21,0.08
6/26/21,0
6/27/21,0
6/28/21,0
6/29/21,0
6/30/21,0.48
7/1/21,0.56
7/2/21,3.57
7/3/21,0.24
7/4/21,2.06
7/5/21,0.06
7/6/21,0.07
7/7/21,0.2
7/8/21,0.69
7/9/21,0.21
7/10/21,2.93
7/11/21,0
7/12/21,0.72
7/13/21,0.65
7/14/21,0.01
7/15/21,0
7/16/21,0
7/17/21,0.25
7/18/21,0.39
7/19/21,0.18
7/20/21,0.04
7/21/21,0.04
7/22/21,0
7/23/21,0.01
7/24/21,0
7/25/21,0.02
7/26/21,0.21
7/27/21,0
7/28/21,0.58
7/29/21,0.03
7/30/21,0.05
7/31/21,0
8/1/21,0
8/2/21,0
8/3/21,0
8/4/21,0
8/5/21,0.98
8/6/21,0.49
8/7/21,0
8/8/21,0
8/9/21,0
8/10/21,0.41
8/11/21,0
8/12/21,0
8/13/21,0
8/14/21,0
8/15/21,0
8/16/21,0
8/17/21,0
8/18/21,0
8/19/21,0.08
8/20/21,0.91
8/21/21,0
8/22/21,0.23
8/23/21,0.47
8/24/21,1.14
8/25/21,0
8/26/21,0
8/27/21,0
8/28/21,0
8/29/21,0.12
8/30/21,0
8/31/21,0
9/1/21,0
9/2/21,4.75
9/3/21,0
9/4/21,0
9/5/21,0
9/6/21,0.1
9/7/21,0
9/8/21,0
9/9/21,0.23
9/10/21,0.92
9/11/21,0
9/12/21,0.01
9/13/21,0.08
9/14/21,0
9/15/21,0
9/16/21,0.29
9/17/21,0.02
9/18/21,0.02
9/19/21,0.19
9/20/21,0
9/21/21,0
9/22/21,0
9/23/21,0.02
9/24/21,0
9/25/21,0.11
9/26/21,0.45
9/27/21,0
9/28/21,0
9/29/21,0.8
9/30/21,0
10/1/21,0
10/2/21,0
10/3/21,0
10/4/21,0.75
10/5/21,1.05
10/6/21,0
10/7/21,0
10/8/21,0
10/9/21,0
10/10/21,0
10/11/21,0
10/12/21,0.01
10/13/21,0
10/14/21,0
10/15/21,0
10/16/21,0
10/17/21,0.3
10/18/21,0
10/19/21,0
10/20/21,0
10/21/21,0
10/22/21,0
10/23/21,0
10/24/21,0
10/25/21,0.51
10/26/21,1.24