ProductCode,Name,Units,Cost/Unit,AssociatedServices,,,,,,,,,,,,
ADIOS,A.D.I.O.S.,Gallons,,WM,,,,,,,,,,,,
AMP-xc,AMP-xc,,14.38,,,,,,,,,,,,,
BTI,Aquabac BTi Granular,Cups,,"BTI, BCO, RTB, B14, B21, B28",,,,,,,,,,,,
AX,Axxe,Gallons,,"TWC, DWM, WM",,,,,,,,,,,,
BTI Dunks,BTI Dunks,Each,,"BTI, BCO, RTB, B14, B21, B28",,,,,,,,,,,,
2-0-20,Bioworks 2-0-20,Pounds,12.92,POT,,,,,,,,,,,,
7-0-7,Bioworks 7-0-7,Pounds,13.03,FZ2,,,,,,,,,,,,
GRAN,Cedarcide Granular,Cups,,"BC, ES, RTM, RTT, RTB, BCO, B14, B21, B28, M14, M21, M28, T14, T21, T28, MVB, MVM, MVT",,,,,,,,,,,,
CB,Crabgrass Barrier,Gallons,0.98,"FZ2, FZ3, PRE",,,,,,,,,,,,
Salt,De-icing Salt,Bags,,,,,,,,,,,,,,
Deer Out,Deer Out,Gallons,,"AD, D, R",,,,,,,,,,,,
Deer Clips,Deer Protec Clips,Each,,"AD, D, R",,,,,,,,,,,,
Deer Scram,Deer Scram,Cups,,"AD, D, R",,,,,,,,,,,,
DIM,Dimension Weed Granular,Pounds,,DWC,,,,,,,,,,,,
ANT,Essentria-G Ant Granular,Cups,,ANT,,,,,,,,,,,,
FIE,Fiesta,Gallons,,"TWC, WM",,,,,,,,,,,,
Multi Bti,Fourstar Multi Brood Bti Sand Granule,Gallons,,,,,,,,,,,,,,
Single BTI,Fourstar Single Brood BTI Sand Granule,Cups,,,,,,,,,,,,,,
LBR,General Laboer,Hours,,,,,,,,,,,,,,
GFRT,Granular Fertilizer,Pounds,,,,,,,,,,,,,,
GS - Elite,Grass Seed: Elite Mix,Pounds,27.04,MS,,,,,,,,,,,,
GS - RYE,Grass Seed: RPR Ryegrass,Pounds,21.6,MS,,,,,,,,,,,,
GS - SHD,Grass Seed: Shade Mix,Pounds,,MS,,,,,,,,,,,,
GG,Grub Gone,Pounds,49.2,"LAB, GM",,,,,,,,,,,,
Potassium,High Potassium Fert,Pounds,,POT,,,,,,,,,,,,
IC3,IC3 Tick & Mosquito,Gallons,,"MVB, MVM, MVT",,,,,,,,,,,,
ICE,Ice Management,,,,,,,,,,,,,,,
Sticker,LESCO Spreader-Sticker,Fluid Oz,,,,,,,,,,,,,,
LFwT,Lebanon Fertilizer with Tenacity,Pounds,,,,,,,,,,,,,,
Deer Guard,Liquid Fence Deer & Rabbit Repellent - EcoGuard,Fluid Oz,,,,,,,,,,,,,,
Granular,Liquid Fence Yard Net Granular,Cups,,,,,,,,,,,,,,
MISC,Miscellaneous,Gallons,,,,,,,,,,,,,,
NH 2-0-2,Neptunes Harvest 2-0-2,Gallons,1.89,"LAB, FZ1, FZ2, FZ3, FZ4, FZ5",,,,,,,,,,,,
NH 2-3-1,Neptunes Harvest 2-3-1,Gallons,1.25,"LAB, FZ1, FZ2, FZ3, FZ4, FZ5",,,,,,,,,,,,
PRO_IC2,PROGAEA_IC2,Gallons,,,,,,,,,,,,,,
PRO_MD,PROGAEA_MD,Gallons,,"RTB, RTM, B14, B21, B28, M14, M21, M28",,,,,,,,,,,,
PRO_TMPRO,PROGAEA_TMPRO,Gallons,,"BC, ES, RTM, RTT, RTB, BCO, B14, B21, B28, M14, M21, M28, T14, T21, T28, MVB, MVM, MVT",,,,,,,,,,,,
COMP,Progaea Blend Compost,Yards,,,,,,,,,,,,,,
PBS,Progaea Blend Grass Seed,Pounds,,,,,,,,,,,,,,
10-0-2,Purely Organic 10-0-2,Pounds,8.48,,,,,,,,,,,,,
QG,Quantum Grow,Gallons,5.12,"FZ2, FZ3",,,,,,,,,,,,
Rnd 1 Fert,Round 1 Fertilizer Blend,Gallons,,FZ1,,,,,,,,,,,,
Rnd 2 Fert,Round 2 Fertilizer Blend,Gallons,,FZ2,,,,,,,,,,,,
SLIP,SlipStream Liquid Weed Control,Gallons,,"PRE, TWC, WM",,,,,,,,,,,,
SNWPush,Snow Pushed (Inches),Inches,,,,,,,,,,,,,,
Solu-Cal,Solu-Cal Lime,Pounds,4.96,LAG,,,,,,,,,,,,
TEN-G,Tenacity Granular,Gallons,17.6,,,,,,,,,,,,,
TKZ,Tick Killz,Gallons,,"MVB, MVT",,,,,,,,,,,,
WS,Weed Shield,Gallons,2.72,WM,,,,,,,,,,,,